0,1,2,3,4,5,6,7
luxurious House at Kumasi,"Beds: 8, Baths: 9",MEMBER,"Kumasi, Houses","GH₵ 1,500,000",2 days,,
"For sale,4bedroom house@Spintex Batsonaa","Beds: 4, Baths: 5",MEMBER,"Accra, Houses","GH₵ 1,144,000",2 days,,
"For sale,4bedroom house@East Legon","Beds: 4, Baths: 5",MEMBER,"Accra, Houses","GH₵ 1,872,000",2 days,,
Selling 4bedroom house@East Legon near Lancaster University,"Beds: 4, Baths: 5",MEMBER,"Accra, Houses","GH₵ 2,394,000",2 days,,
"For sale,4 bedroom house@East Legon","Beds: 4, Baths: 5",MEMBER,"Accra, Houses","GH₵ 1,872,000",2 days,,
Newly Built Luxurious 7 bedroom Mansion behind West Hills Mall #NO AGENT,"Beds: 7, Baths: 9","Accra, Houses","GH₵ 3,200,000",2 days,,,
1 Bedroom Expandable for Rent at Oyibi,"Beds: 1, Baths: 1",MEMBER,"Accra, Houses","GH₵ 285,000",2 days,,
EXEC 4 BEDROOM HOUSE AT ADENTA ASHIYIE FOR SALE,"Beds: 4, Baths: 2",MEMBER,"Accra, Houses","GH₵ 406,000",2 days,,
Selling 5 bedroom house@Spintex Shell Sign boad,"Beds: 5, Baths: 6",MEMBER,"Accra, Houses","GH₵ 1,710,000",2 days,,
for sale 3 bedroom house boys quarter in Abelemkpe,"Beds: 3, Baths: 4",MEMBER,"Accra, Houses","GH₵ 1,539,000",2 days,,
Selling 4 bedroom house@Adenta Mew Legon lakeside,"Beds: 4, Baths: 5",MEMBER,"Accra, Houses","GH₵ 720,000",2 days,,
Two Bedroom house for sale at Ho Mawuli Estate,"Beds: 2, Baths: 1","Volta, Houses","GH₵ 135,000",2 days,,,
Self compound house for sale at kasoa Colomba,"Beds: 4, Baths: 5","Accra, Houses","GH₵ 430,000",2 days,,,
Executive 3 Bedroom House For Sale - Oyarifa,"Beds: 3, Baths: 4",MEMBER,"Accra, Houses","GH₵ 640,000",2 days,,
EXEC 7 BEDROOM HOUSE AT AMASAMAN FOR SALE,"Beds: 7, Baths: 5",MEMBER,"Accra, Houses","GH₵ 700,000",2 days,,
Affordable house for sale in Kumasi,"Beds: 3, Baths: 3",MEMBER,"Kumasi, Houses","GH₵ 420,000",".top-ad-badge_svg__st1,.top-ad-badge_svg__st2,.top-ad-badge_svg__st8{fill-rule:evenodd;clip-rule:evenodd;fill:#4780b2}.top-ad-badge_svg__st2,.top-ad-badge_svg__st8{fill:#3b566e}.top-ad-badge_svg__st8{fill:#666}.top-ad-badge_svg__st9{opacity:.12}", ,TOP AD
