0,1,2,3,4,5,6,7
2 Bedrooms Apartment For Rent At Santa Maria,"Beds: 2, Baths: 2",MEMBER,"Accra, Apartments",GH₵ 750 /month,1 day,,
gated 2bedrm 2washrm 4rent Spintex,"Beds: 2, Baths: 2",MEMBER,"Accra, Apartments","GH₵ 1,400 /month",1 day,,
"1 YR ,EXECUTIVE TWO BEDRMS 2WASHRMS APARTMENT@ EAST LEGON AMERICAN HOUSE","Beds: 2, Baths: 2",MEMBER,"Accra, Apartments","GH₵ 1,100 /month",1 day,,
Marvlous wall n gated single room selfcontain 4rent spintex,"Beds: 1, Baths: 1",MEMBER,"Accra, Apartments",GH₵ 250 /month,1 day,,
modernise single room S/C 4rent spintex,"Beds: 1, Baths: 1",MEMBER,"Accra, Apartments",GH₵ 300 /month,1 day,,
"Classic cham/hall self, Tettegu.","Beds: 1, Baths: 1",MEMBER,"Accra, Apartments",GH₵ 550 /month,,,
NEWLY BUILT 2 BEDR00M APT. 4 RENT @ MEDIE,"Beds: 2, Baths: 1",MEMBER,"Accra, Apartments",GH₵ 600 /month,1 day,,
2 bedroom apartment for rent at Tantra Hill,"Beds: 2, Baths: 2",MEMBER,"Accra, Apartments","GH₵ 2,000 /month",1 day,,
Newly built 3 Bedroom Apartment at Oyarifa,"Beds: 3, Baths: 3",MEMBER,"Accra, Apartments","GH₵ 1,000 /month",1 day,,
Single room s/c spintex,"Beds: 1, Baths: 1",MEMBER,"Accra, Apartments",GH₵ 500 /month,".top-ad-badge_svg__st1,.top-ad-badge_svg__st2,.top-ad-badge_svg__st8{fill-rule:evenodd;clip-rule:evenodd;fill:#4780b2}.top-ad-badge_svg__st2,.top-ad-badge_svg__st8{fill:#3b566e}.top-ad-badge_svg__st8{fill:#666}.top-ad-badge_svg__st9{opacity:.12}", ,TOP AD
Renting this 2-bedroom apartment@Lashibi,"Beds: 2, Baths: 2",MEMBER,"Accra, Apartments","GH₵ 1,800 /month",".top-ad-badge_svg__st1,.top-ad-badge_svg__st2,.top-ad-badge_svg__st8{fill-rule:evenodd;clip-rule:evenodd;fill:#4780b2}.top-ad-badge_svg__st2,.top-ad-badge_svg__st8{fill:#3b566e}.top-ad-badge_svg__st8{fill:#666}.top-ad-badge_svg__st9{opacity:.12}", ,TOP AD
Executive wal n gated chamba Hal selfcontain spintex s,"Beds: 1, Baths: 1",MEMBER,"Accra, Apartments",GH₵ 400 /month,1 day,,
Luxurious New Chamber and Hall S/C at Oyarifa,"Beds: 1, Baths: 1",MEMBER,"Accra, Apartments",GH₵ 650 /month,1 day,,
FULLY FURNISHED 3 BEDR00M APT. 4 RENT @ SPINTEX,"Beds: 3, Baths: 3",MEMBER,"Accra, Apartments","GH₵ 7,000 /month",1 day,,
Magnificent Chamber&hall Apartment 4rent Spintex,"Beds: 1, Baths: 1",MEMBER,"Accra, Apartments",GH₵ 600 /month,1 day,,
Madonise wall n gated 2bedrm spintex,"Beds: 2, Baths: 1",MEMBER,"Accra, Apartments",GH₵ 700 /month,1 day,,
EXECUTIVE CHAMBER AND & SELF CONTAIN APAT@ MADINA THIRD GATE,"Beds: 1, Baths: 1",MEMBER,"Accra, Apartments","GH₵ 1,200 /month",1 day,,
gated 2bedrm 2washrm 4rent spintex 1year,"Beds: 2, Baths: 2",MEMBER,"Accra, Apartments","GH₵ 1,000 /month",1 day,,
FULLY FURNISHED 8 BEDRM APTMNT 4RENT@SPINTEX,"Beds: 8, Baths: 9",MEMBER,"Accra, Apartments","GH₵ 17,000 /month",1 day,,
Executive 2bedroom Apartment Up For Rent Spintex 1yr,"Beds: 2, Baths: 1",MEMBER,"Accra, Apartments",GH₵ 900 /month,1 day,,
Ultra modern wall n gated chamba Hal selfcontain spintex,"Beds: 1, Baths: 1",MEMBER,"Accra, Apartments",GH₵ 650 /month,1 day,,
